epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8.21775,1.23493,1.62785,1.10372,0.29243,0.1,0.07289,0.03539,2.05087,3.98132,1.68383,0.00159262,0.00159262,0.00159262
43,8.47314,1.24605,1.54857,1.05076,0.29243,0.1,0.07289,0.03539,2.05087,3.98132,1.68383,0.00162931,0.00162931,0.00162931
44,8.6632,1.05726,1.53872,1.07679,0.55638,0.1,0.06794,0.02699,2.1152,4.19048,1.74316,0.00166593,0.00166593,0.00166593
45,8.85079,1.15298,1.48209,1.07219,0.55638,0.1,0.06794,0.02699,2.1152,4.19048,1.74316,0.00170246,0.00170246,0.00170246
46,9.04258,1.20284,1.47928,1.00933,0.2967,0.1,0.08713,0.0253,2.03934,4.3461,1.67027,0.00173892,0.00173892,0.00173892
47,9.22528,1.15601,1.34968,1.08465,0.2967,0.1,0.08713,0.0253,2.03934,4.3461,1.67027,0.0017753,0.0017753,0.0017753
48,9.41434,1.15251,1.47355,1.08704,0.074,0.06667,0.0498,0.01799,2.05933,5.76017,1.65437,0.00181159,0.00181159,0.00181159
49,9.59503,0.9987,1.32106,0.98086,0.074,0.06667,0.0498,0.01799,2.05933,5.76017,1.65437,0.00184781,0.00184781,0.00184781
50,9.78964,1.08734,1.3493,1.05082,0.06955,0.1,0.02108,0.01147,2.22036,5.84849,1.84857,0.00188395,0.00188395,0.00188395
51,9.9678,1.15194,1.39052,1.06974,0.06955,0.1,0.02108,0.01147,2.22036,5.84849,1.84857,0.001901,0.001901,0.001901
52,10.1594,0.96273,1.53505,1.04391,0.09819,0.06667,0.02432,0.0138,2.22535,6.00566,1.78413,0.00189902,0.00189902,0.00189902
53,10.4268,1.14851,1.33377,0.98504,0.09819,0.06667,0.02432,0.0138,2.22535,6.00566,1.78413,0.00189704,0.00189704,0.00189704
54,10.6211,1.14904,1.30052,1.04381,0.04387,0.2,0.02428,0.01105,2.31385,5.74796,1.79321,0.00189506,0.00189506,0.00189506
55,10.8103,1.07529,1.38318,1.02119,0.04387,0.2,0.02428,0.01105,2.31385,5.74796,1.79321,0.00189308,0.00189308,0.00189308
56,11.0001,1.12288,1.50291,1.12774,0.06088,0.26667,0.04882,0.02019,2.24577,4.97456,1.95531,0.0018911,0.0018911,0.0018911
57,11.183,1.17314,1.4127,1.03757,0.06088,0.26667,0.04882,0.02019,2.24577,4.97456,1.95531,0.00188912,0.00188912,0.00188912
58,11.3806,1.27084,1.4241,1.05491,0.11937,0.33333,0.07951,0.03129,2.29247,4.17151,2.15166,0.00188714,0.00188714,0.00188714
59,11.5624,0.88968,1.26166,1.01972,0.11937,0.33333,0.07951,0.03129,2.29247,4.17151,2.15166,0.00188516,0.00188516,0.00188516
60,11.7532,0.98945,1.33868,1.01313,0.24061,0.3,0.17402,0.06643,2.44592,3.70723,2.25262,0.00188318,0.00188318,0.00188318
61,11.9353,1.09919,1.31472,1.04254,0.24061,0.3,0.17402,0.06643,2.44592,3.70723,2.25262,0.0018812,0.0018812,0.0018812
62,12.1275,1.06576,1.28373,0.98725,0.19547,0.3,0.15639,0.04352,2.4252,4.15201,2.16125,0.00187922,0.00187922,0.00187922
63,12.3112,0.96011,1.13829,0.95259,0.19547,0.3,0.15639,0.04352,2.4252,4.15201,2.16125,0.00187724,0.00187724,0.00187724
64,12.578,1.0421,1.33361,0.97169,0.15791,0.36667,0.11835,0.04231,2.31099,5.53103,2.1055,0.00187526,0.00187526,0.00187526
65,12.7587,1.0131,1.26672,1.01302,0.15791,0.36667,0.11835,0.04231,2.31099,5.53103,2.1055,0.00187328,0.00187328,0.00187328
66,12.9526,1.01835,1.30059,0.95536,0.15663,0.35298,0.11998,0.05158,2.17253,5.78121,1.91248,0.0018713,0.0018713,0.0018713
67,13.1343,0.94105,1.23075,0.89981,0.15663,0.35298,0.11998,0.05158,2.17253,5.78121,1.91248,0.00186932,0.00186932,0.00186932
68,13.3362,0.94584,1.1003,0.9797,0.12106,0.4,0.11011,0.04321,2.23451,6.26068,1.84233,0.00186734,0.00186734,0.00186734
69,13.5191,0.89629,1.09501,0.93562,0.12106,0.4,0.11011,0.04321,2.23451,6.26068,1.84233,0.00186536,0.00186536,0.00186536
70,13.7107,0.85806,1.32126,1.00258,0.14675,0.23333,0.11511,0.03934,2.20559,6.26016,2.03047,0.00186338,0.00186338,0.00186338
71,13.8928,0.91973,1.1038,0.91906,0.14675,0.23333,0.11511,0.03934,2.20559,6.26016,2.03047,0.0018614,0.0018614,0.0018614
72,14.0843,1.00031,1.21109,0.95637,0.11159,0.36667,0.11063,0.03764,2.1652,6.05679,2.02532,0.00185942,0.00185942,0.00185942
73,14.2661,0.84668,1.26942,1.00517,0.11159,0.36667,0.11063,0.03764,2.1652,6.05679,2.02532,0.00185744,0.00185744,0.00185744
74,14.4549,1.04833,1.24373,1.0464,0.14285,0.33333,0.11257,0.04758,2.18686,6.37163,2.20757,0.00185546,0.00185546,0.00185546
75,14.6364,0.90894,1.09504,0.97146,0.14285,0.33333,0.11257,0.04758,2.18686,6.37163,2.20757,0.00185348,0.00185348,0.00185348
76,14.9118,0.95631,1.16709,1.00124,0.11728,0.56667,0.12971,0.05062,2.25201,5.45543,2.59361,0.0018515,0.0018515,0.0018515
77,15.0948,0.89878,1.42305,1.04357,0.11728,0.56667,0.12971,0.05062,2.25201,5.45543,2.59361,0.00184952,0.00184952,0.00184952
78,15.2899,1.05427,1.11112,0.99812,0.22345,0.3,0.15234,0.06213,2.25817,4.3833,2.33361,0.00184754,0.00184754,0.00184754
79,15.474,1.02741,1.12674,0.94096,0.22345,0.3,0.15234,0.06213,2.25817,4.3833,2.33361,0.00184556,0.00184556,0.00184556
80,15.6681,0.90074,1.00126,0.9515,0.48482,0.3,0.30457,0.14162,2.08953,3.18375,1.92768,0.00184358,0.00184358,0.00184358
81,15.8558,1.11487,1.25209,1.0916,0.48482,0.3,0.30457,0.14162,2.08953,3.18375,1.92768,0.0018416,0.0018416,0.0018416
82,16.0575,0.94339,1.08957,0.97623,0.51238,0.4,0.44247,0.19253,2.14023,2.75711,1.99676,0.00183962,0.00183962,0.00183962
83,16.2462,1.07943,1.13083,1.06244,0.51238,0.4,0.44247,0.19253,2.14023,2.75711,1.99676,0.00183764,0.00183764,0.00183764
84,16.4426,0.86967,1.09701,0.971,0.53084,0.33333,0.37776,0.1434,2.23241,3.2207,2.01557,0.00183566,0.00183566,0.00183566
85,16.6249,1.04901,1.0924,0.995,0.53084,0.33333,0.37776,0.1434,2.23241,3.2207,2.01557,0.00183368,0.00183368,0.00183368
86,16.8162,1.13857,1.29573,1.07142,0.57617,0.4,0.37611,0.13841,2.14833,2.9393,1.96364,0.0018317,0.0018317,0.0018317
87,17.0702,0.92906,1.07459,1.00391,0.57617,0.4,0.37611,0.13841,2.14833,2.9393,1.96364,0.00182972,0.00182972,0.00182972
88,17.2661,0.9406,1.03084,0.95956,0.60353,0.33333,0.32966,0.14966,2.07406,3.14046,1.70056,0.00182774,0.00182774,0.00182774
89,17.4509,1.09429,1.04898,0.9991,0.60353,0.33333,0.32966,0.14966,2.07406,3.14046,1.70056,0.00182576,0.00182576,0.00182576
90,17.644,0.93411,1.14634,0.94958,0.40357,0.56394,0.3496,0.13218,2.17534,2.81932,1.7191,0.00182378,0.00182378,0.00182378
91,17.8238,0.84487,0.98963,0.98802,0.40357,0.56394,0.3496,0.13218,2.17534,2.81932,1.7191,0.0018218,0.0018218,0.0018218
92,18.0174,1.10271,1.14048,0.98572,0.64851,0.56667,0.50471,0.17017,2.27658,2.1662,1.73481,0.00181982,0.00181982,0.00181982
93,18.1974,1.02106,1.00394,0.97567,0.64851,0.56667,0.50471,0.17017,2.27658,2.1662,1.73481,0.00181784,0.00181784,0.00181784
94,18.3886,0.93602,1.05029,0.95504,0.75456,0.6,0.60628,0.20007,2.28431,1.99228,1.79502,0.00181586,0.00181586,0.00181586
95,18.5837,0.98018,0.97881,0.97481,0.75456,0.6,0.60628,0.20007,2.28431,1.99228,1.79502,0.00181388,0.00181388,0.00181388
96,18.7806,0.93931,1.03945,1.03049,0.58077,0.50819,0.52013,0.21104,2.15437,1.9411,1.75969,0.0018119,0.0018119,0.0018119
97,18.9656,0.87466,0.91182,0.96189,0.58077,0.50819,0.52013,0.21104,2.15437,1.9411,1.75969,0.00180992,0.00180992,0.00180992
98,19.2385,0.83964,1.02773,0.92603,0.86402,0.42405,0.57596,0.2146,2.1206,1.8239,1.63016,0.00180794,0.00180794,0.00180794
99,19.4246,0.93801,0.91963,0.97155,0.86402,0.42405,0.57596,0.2146,2.1206,1.8239,1.63016,0.00180596,0.00180596,0.00180596
100,19.6199,0.91684,0.90901,0.95892,0.71328,0.4,0.51971,0.19097,2.15496,1.86795,1.59132,0.00180398,0.00180398,0.00180398
101,19.806,0.96812,0.98198,0.9621,0.71328,0.4,0.51971,0.19097,2.15496,1.86795,1.59132,0.001802,0.001802,0.001802
102,19.9968,0.90376,1.00971,0.95297,0.69464,0.56667,0.57957,0.19334,2.11389,1.8652,1.62294,0.00180002,0.00180002,0.00180002
103,20.1796,0.83635,0.88315,0.94901,0.69464,0.56667,0.57957,0.19334,2.11389,1.8652,1.62294,0.00179804,0.00179804,0.00179804
104,20.3692,0.89842,0.92416,0.99082,0.49886,0.69688,0.52072,0.16338,2.07252,1.95787,1.5962,0.00179606,0.00179606,0.00179606
105,20.5481,0.96273,0.87547,0.95782,0.49886,0.69688,0.52072,0.16338,2.07252,1.95787,1.5962,0.00179408,0.00179408,0.00179408
106,20.7426,0.89114,0.9295,0.92969,0.63227,0.46667,0.52942,0.17683,2.11551,1.91052,1.57214,0.0017921,0.0017921,0.0017921
